date_time,Cement Type,MDP,MDC,FFS,SDS,SDC,BED,MD,MIP1,FOP,FIP,MV,MV2,MV1,Feed,PSS,RP3,RP2,RP1,CP,WP,FCT,Blaine,Residue
2021-08-04 00:30:00,32.5,2865.965211333333,157.96263254666664,889.4938888833333,865.91990177,186.0017234,60.684310871000015,58.570560198333354,-3.9741693709333332,-71.891594619,-63.04010280299998,3.2769816045666667,0.7248099228333331,1.3034014697333336,281.8312877466667,62.78665849233332,103.455825009,103.30541805166669,95.83256949333334,20.87108981933333,77.200628836,213.38206343333334,4162.0,18.6
2021-08-04 01:00:00,32.5,2923.4776632,159.5972585433333,889.4955555566669,865.91681363,186.7347234033333,60.01725252366667,58.56511568500001,-3.9475030195666663,-71.87384108666669,-63.12638781066666,3.4470596196333347,0.7468836525000001,1.3039865873333334,279.57815981666664,62.78886877433334,101.91229987599998,98.80525198100003,92.84409792066667,21.002850467333328,77.0943042666667,213.23152453333333,3989.0,18.4
2021-08-04 01:30:00,32.5,3029.500909100001,165.23372013333338,889.4822222199999,842.7340337900001,185.20494266000003,58.054974746999996,58.16757340999998,-4.102638826600001,-71.76618504033334,-62.949295606333344,3.6054111636333332,0.7409521013666667,1.2996625008999998,261.47859471333334,61.107616041333344,93.51150417866668,91.49425289566668,79.86062910266666,21.49198329566666,76.06994881033333,203.34872118333337,3841.0,17.9
2021-08-04 02:00:00,32.5,3212.521616933333,177.55265787666664,889.5116666666665,813.4375436699999,183.37592942666666,60.92582199933334,58.55786165666666,-4.233540708066666,-72.26676564533334,-63.498292719999995,3.5375037354000005,0.7439773533333333,1.3078959468333333,282.30098955,58.98510558666668,92.88169723766666,90.83020803000001,78.61249454099999,21.090759787666666,74.98294290766667,202.26694031999995,4022.0,18.4
2021-08-04 02:30:00,32.5,3040.2723727333337,167.45457990333335,889.5016666633334,821.0828708866665,182.94075791999998,56.279635838666664,56.78518160033334,-4.641246732333333,-71.71403513166666,-61.91720888133334,3.519773377166666,0.7465814489,1.3085678685000002,243.2666246266667,59.54149156966666,85.45879948866666,85.72169514999997,72.13251178299997,21.044902052333335,74.67261081233333,214.3296621166667,3822.0,18.4
2021-08-04 03:00:00,32.5,3315.8964038999998,182.05460331000006,889.49888889,821.0843896533333,184.90785471666666,58.302291369666676,57.668887383,-4.269678414666666,-72.00899075333335,-62.41603083900001,3.3313059408666663,0.7424116808999999,1.3087768391333336,260.27478618666663,59.53807898833334,80.25192286066667,80.06256103500002,66.07803611,21.321514701333335,74.72060346733332,226.18689952333338,3992.0,16.8
2021-08-04 03:30:00,32.5,3522.8793826000006,191.52972221333337,885.2361111133333,821.0853008933334,186.9753282433334,60.89040789266666,57.69970856133333,-4.0165267867,-71.67610733,-62.23559196599998,3.3475574302666664,0.7612383283333332,1.3048385448,283.60119881,59.53963497466667,75.57909644233334,74.59164510133334,58.93109942866666,21.359270968666667,73.406777658,243.57357158333326,4152.0,17.9
2021-08-04 04:00:00,32.5,3501.063079599999,189.76023928666663,884.49777778,821.0819090066667,185.93656954666665,61.51102194900001,57.801887641666674,-3.898475777500001,-71.50969155166666,-62.259307501,3.3462794947666676,0.7505036670666665,1.3006655606,290.11346463999996,59.537583863666676,81.95158442133334,81.26116863633334,65.89656973966666,20.985798556666666,74.89122690900003,243.55693547333328,3927.0,17.7
2021-08-04 04:30:00,32.5,3260.0492021999994,177.04346870666666,888.00333333,821.0822127566668,185.6639355,62.50551336099999,59.23723745133334,-3.6823604306666664,-72.35688182833334,-63.512521995666674,3.5144606972666663,0.7554096548333333,1.3012024545,301.79039881333324,59.539139845,93.23124888066666,89.47115970233335,76.549211222,21.321643211666665,75.04724158366665,238.31317643999998,4115.0,16.6
2021-08-04 05:30:00,32.5,3314.9477275000004,179.5863301966666,889.4950000033333,821.0831240199998,187.2448303233333,59.566160860666656,57.45276865033334,-4.329180390866667,-71.94004734166667,-62.29637212566667,3.8425928748666673,0.7619423984666668,1.3081081326666668,276.45825299,59.538980763333335,72.12378084033334,70.19998118033332,54.00113586433334,21.55728505366666,74.69730156733334,240.08970953,3809.0,20.7
2021-08-04 06:00:00,32.5,3556.809236466666,194.16829195333335,884.868333326667,821.0862121533333,188.00740645333335,60.88111916033334,57.48184654333334,-4.189784367766666,-71.46846697933333,-62.20111812466667,3.585832219166667,0.7662246892999997,1.3001929655333335,287.65620724666667,59.53936975233333,72.94276423133333,71.54962651533333,55.24957573733333,21.243739115999997,72.63632503866666,243.56592279666663,3766.0,22.5
2021-08-04 06:30:00,32.5,3596.813884,197.11980381333333,884.4994444433331,850.1049214100001,190.12264608,62.394046898333336,58.656081689333334,-3.8451170293,-71.95172457366667,-63.088670711999995,3.3563422368666673,0.7607657331666664,1.2928982794333337,296.9374326733333,61.639883274,80.66711627533331,78.629295298,61.68041436066666,20.89660334933333,73.148734755,243.61309917000003,3787.0,13.7
2021-08-04 07:00:00,32.5,3422.3926536333333,187.83185269666672,888.4122222266667,850.9741573066665,189.94758081,64.24427733933334,58.843271562666665,-4.413079405966667,-72.77287684099997,-63.95300676100001,3.5819743,0.7589171466999999,1.3050185811333335,312.8386821633333,61.70382184833333,88.71134248466667,86.48310448533333,70.19102020199999,21.420200314333336,76.563404316,248.6645137,3934.0,13.8
